Level	Simulation	Output_Var	Time	Data	Prediction
1_1_1	1	lnC_rest	0.25	2.75769	1.56324
1_1_1	1	lnC_rest	0.57	3.5964	2.22026
1_1_1	1	lnC_rest	1.12	4.06526	2.62425
1_1_1	1	lnC_rest	2.02	3.98188	2.81115
1_1_1	1	lnC_rest	3.82	3.86332	2.77562
1_1_1	1	lnC_rest	5.1	3.83735	2.67008
1_1_1	1	lnC_rest	7.03	3.72478	2.48551
1_1_1	1	lnC_rest	9.05	3.64396	2.285
1_1_1	1	lnC_rest	12.12	3.4956	1.97828
1_1_1	1	lnC_rest	24.37	2.90173	2.16965


1_2_1	2	lnC_rest	0.37	2.77514	2.20527
1_2_1	2	lnC_rest	0.77	3.36639	2.73347
1_2_1	2	lnC_rest	1.02	3.57175	2.89207
1_2_1	2	lnC_rest	2.05	3.77185	3.12675
1_2_1	2	lnC_rest	3.55	4.03726	3.10693
1_2_1	2	lnC_rest	5.05	3.93091	2.9881
1_2_1	2	lnC_rest	7.08	3.79583	2.79407
1_2_1	2	lnC_rest	9.38	3.6796	2.56556
1_2_1	2	lnC_rest	12.1	3.45084	2.29378
1_2_1	2	lnC_rest	23.7	2.59766	1.1338


